popularity,title,genre,developer,year,move,aim,hotas,retail_bd,free_to_play,cusa,size_gb,size_bytes,size_source,pv_monthly,pv_adjust
★★★,Monster of the Deep: Final Fantasy XV,Simulation,Square Enix,2017,必需,,,Y,,,,,,1930,
★★★,The Idolmaster Cinderella Girls,Simulation,Bandai Namco Ent.,2016,—,,,,,,,,,6230,multiplat
★★★,The Walking Dead: Saints & Sinners,"Action, horror",Skydance Interactive,2020,必需,,,Y,,,,,,6173,multiplat
★★★,Megaton Rainfall,Action-adventure,Alfonso del Cerro,2017,可选,,,,,,,,,1809,
★★★,RIGS: Mechanized Combat League,Sports Shooter,Guerrilla Cambridge,2016,—,,,Y,,CUSA00257,18.59,19965935616,fuzzy,1744,
★★★,Firewall: Zero Hour,Tactical first-person shooter,First Contact Ent.,2018,—,Y,,Y,,CUSA11182,9.69,10406133760,fuzzy,1709,
★★★,Tetris Effect,Puzzle,Enhance Games,2018,—,,,Y,,,,,,5586,multiplat
★★★,Concrete Genie,Action,Worldwide Studios,2019,必需,,,Y,,,,,,5385,multiplat
★★★,PlayStation VR Worlds,Interactive Experience,London Studio,2016,可选,,,Y,,,,,,1601,
★★★,Keep Talking and Nobody Explodes,Puzzle,Steel Crate Games,2016,—,,,,,CUSA06561,0.65,703201280,exact,5232,multiplat
★★★,Farpoint,FPS,Impulse Gear,2017,—,Y,,Y,,,,,,1543,
★★★,Obduction,"Adventure, puzzle",Cyan Worlds,2017,—,,,,,,,,,5104,multiplat
★★★,NBA 2K: VR Experience,Interactive experience,2K Games,2016,可选,,,,,,,,,15134,proxy
★★★,Don't Knock Twice,Horror,Wales Interactive,2017,可选,,,Y,,,,,,1473,
★★★,Home Sweet Home,"First-person, horror",Yggdrazil Group,2018,—,,,Y,,,,,,4704,multiplat
★★★,SuperHyperCube,Puzzle,Kokoromi,2016,—,,,,,CUSA04894,0.21,223739904,exact,1406,
★★★,Golem,Adventure,Highwire Games,2019,必需,,,Y,,,,,,1403,
★★★,Humanity,Puzzle,tha ltd.,2023,必需,,,,,,,,,1388,
★★★,Wipeout Omega Collection,Racing,Sony XDev Europe,2018,—,,,Y,,CUSA07671,22.23,23869128704,fuzzy,3889,multiplat
★★★,Moto Racer 4,Racing,Artefacts Studio,2016,—,,,Y,,,,,,974,
★★★,Eagle Flight,Flight Combat,Ubisoft Montreal,2016,—,,,Y,,,,,,966,
★★★,The Walking Dead: Saints & Sinners – Chapter 2: Retribution,"Action, horror",Skydance Interactive,,必需,,,Y,,,,,,923,
★★★,The Walking Dead: Onslaught,"Action, Horror",Survios,2020,必需,,,,,,,,,912,
★★★,Werewolves Within,Social,Red Storm Entertainment,2016,—,,,Y,,,,,,2987,multiplat
★★★,100ft Robot Golf,Sports,No Goblin,2016,—,,,,,,,,,857,
★★★,Paper Beast,Adventure,Pixel Reef,2020,可选,,,,,,,,,828,
★★★,Ark Park,"Adventure, simulation",Snail Games,2018,可选,,,Y,,,,,,725,
★★,Moss: Book II,"Adventure, puzzle",Polyarc Games,2022,—,,,Y,,,,,,635,
★★,Trover Saves the Universe,Squanch Games,Squanch Games,2019,—,,,Y,,,,,,2107,multiplat
★★,Battlezone,Vehicular combat,Rebellion Developments,2016,—,,,Y,,,,,,607,
★★,Budget Cuts,,Neat Corporation,2020,—,,,Y,,,,,,578,
★★,Ghost Giant,"Adventure, puzzle",Zoink Games,2019,必需,,,Y,,,,,,546,
★★,Ace Combat 7,Combat flight sim,Project Aces,2019,—,,Y,Y,,,,,,1708,multiplat
★★,Killing Floor: Incursion,First-person shooter,Tripwire Int.,2018,—,,,Y,,,,,,4997,proxy
★★,Catlateral Damage,Simulation,Chris Chung,2016,可选,,,,,,,,,498,
★★,Wayward Sky,"Adventure, Puzzle",Uber Entertainment,2016,可选,,,,,,,,,493,
★★,Synth Riders,Rhythm,Kluge Interactive,,必需,,,,,,,,,488,
★★,Sairento VR,First-person shooter,Mixed Realms,2019,必需,,,Y,,,,,,486,
★★,Dead Secret,Horror,Robot Invader,2018,—,,,,,,,,,483,
★★,Crisis on the Planet of the Apes VR,Action,Advanced Visual Entertainment,2018,必需,,,,,,,,,441,
★★,Hitman III,Stealth,IO Interactive,2021,—,,,,,,,,,1417,multiplat
★★,Sniper Elite VR,"Tactical shooter, stealth",Just Add Water,2021,—,Y,,,,,,,,3362,proxy
★★,Chess Ultra,"Sport, Chess",Ripstone Games,2017,—,,,,,,,,,330,
★★,Rez Infinite,"Rail shooter, music",Monstars,2016,可选,,,Y,,CUSA06209,0.49,521601024,exact,316,
★★,Arashi: Castles of Sin,Action,Endeavor One,,—,,,,,,,,,295,
★★,Fantastic Contraption,Puzzle,Northway Games,2017,—,,,,,,,,,233,
★★,Xing: The Land Beyond,"Adventure, Puzzle",White Lotus,2019,可选,,,,,,,,,160,
★★,Lethal VR,Shooter,Three Fields Ent.,2016,必需,,,,,,,,,159,
★★,The Playroom VR,Party,Japan Studio (Team Asobi),2016,—,,,,Y,CUSA04318,2.06,2215706624,exact,151,
★★,Apex Construct,Action-adventure,Fast Travel Games,2018,必需,,,Y,,,,,,,
★★,ATV Drift & Tricks,Racing,Anuman Interactive,2017,—,,,Y,,,,,,,
★★,Battlewake,"Action, racing, shooter",Survios,2019,可选,,,Y,,,,,,,
★★,Blind,"Exploration, Narrative, Puzzle",Tiny Bull Studios,2018,可选,,,Y,,,,,,,
★★,BoxVR,Sports,FitXR,2019,必需,,,Y,,,,,,,
★★,Bravo Team,First-person shooter,Supermassive Games,2018,可选,Y,,Y,,,,,,,
★★,Carly and the Reaperman: Escape from the Underworld,Odd Raven Studios,Odd Raven Studios,2019,可选,,,Y,,,,,,,
★★,CoolPaintrVR,Adventure,Wildbit Studios,2018,可选,,,Y,,,,,,,
★★,Croixleur Sigma,Hack 'n slash,Playism,2017,—,,,Y,,CUSA02163,1.16,1246035968,exact,,
★★,"data-sort-value=""American Dream"" |The American Dream",FPS,Samurai Punk,2018,—,,,Y,,,,,,,
★★,"data-sort-value=""Angry Birds Movie 2 VR: Under Pressure"" | The Angry Birds Movie 2 VR: Under Pressure",Party,XR Games,2019,—,,,Y,,,,,,,
★★,"data-sort-value=""Assembly"" |The Assembly",Adventure,nDreams,2016,可选,,,Y,,,,,,,
★★,"data-sort-value=""Curious Tale of the Stolen Pets"" | The Curious Tale of the Stolen Pets",Adventure,Fast Travel Games,2019,可选,,,Y,,,,,,,
★★,"data-sort-value=""Invisible Hours"" |The Invisible Hours","First-person, mystery",Tequila Works,2017,—,,,Y,,,,,,,
★★,"data-sort-value=""Persistence"" |The Persistence","Horror, stealth",Firesprite,2018,—,,,Y,,,,,,,
★★,Dexed,Action,Ninja Theory,2017,可选,,,Y,,,,,,,
★★,Doctor Who: The Edge of Time,"Adventure, puzzle",PlayStack,2019,可选,,,Y,,,,,,,
★★,Down The Rabbit Hole,Adventure,Cortopia,2020,—,,,Y,,,,,,,
★★,Drunkn Bar Fight,Action,The Munky,2018,必需,,,Y,,,,,,,
★★,Dying: Reborn,"Horror, puzzle",Oasis Games,2017,—,,,Y,,,,,,,
★★,Everybody's Golf VR,Sports,Japan Studio,2019,可选,,,Y,,CUSA04687,7.40,7942045696,exact,,
★★,Fated: The Silent Oath,Action-Adventure,Frima Studio,2017,—,,,Y,,,,,,,
★★,Gun Club VR,"Arcade, shooter",The Binary Mill,2018,必需,,,Y,,,,,,,
★★,Gungrave VR,Action,Iggymob,2017,—,,,Y,,,,,,,
★★,Happy Manager,Simulation,Tamsoft,2018,—,,,Y,,,,,,,
★★,Headmaster,"Action, sports",Frame Interactive,2016,—,,,Y,,,,,,,
★★,Heavy Fire: Red Shadow,"Action, arcade",Mastiff,2018,—,,,Y,,,,,,,
★★,Here They Lie,Horror,Tangentlemen,2016,—,,,Y,,CUSA05018,5.71,6135480320,exact,,
★★,HeroCade,Interactive experience,Lucid Sight,2017,可选,,,Y,,,,,,,
★★,Honor and Duty: D-Day,Action,Strange Games Studios,2019,可选,Y,,Y,,,,,,,
★★,Infinite Minigolf,Sports,Zen Studios,2017,—,,,Y,,CUSA07813,1.02,1094189056,exact,,
★★,Intruders: Hide and Seek,First-person stealth,Tessera Studios,2019,—,,,Y,,,,,,,
★★,Jupiter & Mars,Adventure Action,Tigertron,2019,—,,,Y,,,,,,,
★★,Korix,Real-Time strategy,StellarVR,2017,可选,,,Y,,,,,,,
★★,Last Labyrinth,Escape Room,Amata K.K.,2019,可选,,,Y,,,,,,,
★★,Light Tracer,Adventure,Oasis games,2017,必需,,,Y,,,,,,,
★★,Loading Human,Adventure,Untold Games,2016,可选,,,Y,,,,,,,
★★,Megadimension Neptune VIIR,RPG,Compile Heart,2017,—,,,Y,,,,,,,
★★,Mind Labyrinth VR Dreams,Adventure,Oxygene s.r.l.,2018,可选,,,Y,,,,,,,
★★,Operation Warcade,Shooter,Ivanovich Games,2018,可选,Y,,Y,,,,,,,
★★,Paper Dolls,"First-Person, horror",Winking Skywalker,2018,可选,,,Y,,,,,,,
★★,Paranormal Activity: The Lost Soul,Horror,VRwerx,2017,—,,,Y,,,,,,,
★★,"Penn & Teller VR: F U, U, U, & U",Party,Gearbox,2019,必需,,,Y,,,,,,,
★★,Perfect,Simulation,nDreams,2016,可选,,,Y,,,,,,,
★★,Pixel Gear,Shooter,Oasis Games,2016,必需,,,Y,,,,,,,
★★,Pixel Ripped 1989,"Simulation, Arcade",Pixel Ripped,2018,—,,,Y,,,,,,,
★★,Prison Boss VR,Simulation,Trebuchet Studio,2018,必需,,,Y,,,,,,,
★★,Project Lux,Visual novel,Spicy Tails,2019,可选,,,Y,,,,,,,
★★,Quar: Infernal Machines,Funbox Media,Funbox Media,2019,可选,,,Y,,,,,,,
★★,QuiVr,Shooter,The Munky,2019,必需,,,Y,,,,,,,
★★,Race the Sun,"Action, Arcade",Flippfly,2017,—,,,Y,,CUSA00708,0.13,138346496,exact,,
★★,Raw Data,First-person shooter,Survios,2017,必需,,,Y,,,,,,,
★★,Red Matter,Puzzle,Vertical Robot,2018,必需,,,Y,,,,,,,
★★,Resident Evil Vendetta: Z Infected Experience,Interactive experience,Marza Animation Planet,2017,—,,,Y,Y,,,,,,
★★,Rogue One: X-Wing VR Mission,Space Shooter,Criterion Games,2016,—,,,Y,,,,,,,
★★,Rollercoaster Tycoon Joyride,Simulation,Nvizzio Creations,2018,—,,,Y,,,,,,,
★★,Rush VR,Sports,The Binary Mill,2018,可选,,,Y,,,,,,,
★★,Senran Kagura Peach Beach Splash Sunshine Edition,Shooter,Tamsoft,2017,—,,,Y,,,,,,,
★★,Smash Hit Plunder,Arcade,Triangular Pixels,2018,可选,,,Y,,,,,,,
★★,Space Channel 5 VR,"Music, rhythm",Grounding,2020,必需,,,Y,,,,,,,
★★,Space Junkies,Ubisoft Montpellier,Ubisoft,2019,可选,,,Y,,,,,,,
★★,Sprint Vector,"Action, Course",Survios,2018,必需,,,Y,,,,,,,
★★,Squishies,"Action, puzzle",Brainseed Factory,2018,必需,,,Y,,,,,,,
★★,Syndrome,"First-person, survival",Camel 101,2017,—,,,Y,,,,,,,
★★,The Grand Museum VR,"Educational, Casual",Owlgorithm,2018,—,,,Y,,,,,,,
★★,The Rabbit Hole,"Adventure, puzzle",VRMonkey,2017,可选,,,Y,,,,,,,
★★,The Wizards: Enhanced Edition,Carbon Studio,Carbon Studio,2019,必需,,,Y,,,,,,,
★★,Theseus,Action,Forge Reply,2017,—,,,Y,,,,,,,
★★,Time Carnage,Action,Wales Interactive,2018,—,,,Y,,,,,,,
★★,To the top,"Action, adventure",Electric Hat Games,2018,可选,,,Y,,,,,,,
★★,Tokyo Chronos,MyDearest,"Limited Run Games, Sekai Project",2018,可选,,,Y,,,,,,,
★★,Touhou Kobuto V: Burst Battle,Action,,2017,—,,,Y,,,,,,,
★★,Track Lab,Music,Sony Interactive Ent.,2018,必需,,,Y,,,,,,,
★★,Transference,"Adventure, puzzle",Ubisoft,2018,—,,,Y,,,,,,,
★★,Ultrawings,"Flight, open world",Bit Planet Games,2017,可选,,Y,Y,,,,,,,
★★,Unearthing Mars,"Interactive, Adventure",Winking Ent.,2017,必需,,,Y,,,,,,,
★★,Unearthing Mars 2: The Ancient War,"Interactive, Adventure",Winking Ent.,2018,—,Y,,Y,,,,,,,
★★,VR Karts,Arcade racing,View Point Games,2017,—,,,Y,,,,,,,
★★,VR Ping Pong,Sports,Merge Games,2017,必需,,,Y,,,,,,,
★★,VR Ping Pong Pro,Sports,Merge Games,2019,必需,,,Y,,,,,,,
★★,Weeping Doll,Horror,Oasis Games,2016,—,,,Y,,CUSA06439,1.06,1139146752,exact,,
★,Superhot VR,First-person shooter,Superhot Team,2017,必需,,,Y,,,,,,146,
★,Radial-G: Racing Revolved,Racing,Tammeka Games,2017,—,,,Y,,,,,,142,
★,I Expect You To Die,"Action, puzzle",Schell Games,2016,可选,,,,,CUSA07396,0.93,999161856,exact,137,
★,GNOG,Puzzle,KO_OP,2017,—,,,,,,,,,127,
★,Volume: Coda,"Stealth, Puzzle",Mike Bithell Games,2016,—,,,Y,,,,,,1252,proxy
★,Marvel's Iron Man VR,Shooter,Camouflaj,2020,必需,,,Y,,,,,,104,
★,Deemo: Reborn,Rhythm,Rayark,2019,可选,,,Y,,,,,,101,
★,TrackMania Turbo: VR Levels,Racing,Nadeo,2016,—,,,Y,,,,,,992,proxy
★,CastleStorm VR,Strategy,Zen Studios,2017,—,,,,,,,,,908,proxy
★,Everest VR,Simulation,Sólfar Studios,2017,可选,,,,,,,,,85,
★,Borderlands 2 VR,First-Person,2K Games,2018,可选,Y,,,,,,,,84,
★,A-Train Express,City development railroad simulation,Artdink,2017,—,,,Y,,,,,,79,
★,Fruit Ninja VR,"Action, Arcade",Halfbrick Studios,2016,必需,,,Y,,,,,,79,
★,Hustle Kings VR,Sports,EPOS Game Studios,2016,可选,,,Y,,CUSA01332,0.73,780206080,exact,616,proxy
★,Summer Lesson: Allison Snow,Simulation,Bandai Namco Ent.,2017,—,,,Y,,,,,,604,proxy
★,Summer Lesson: Chisato Shinjo,Simulation,Bandai Namco Ent.,2017,—,,,Y,,,,,,604,proxy
★,Summer Lesson: Hikari Miyamoto,Simulation,Bandai Namco Ent.,2016,—,,,Y,,,,,,604,proxy
★,Harmonix Music VR,"Music, rhythm",Harmonix,2016,可选,,,,,,,,,49,
★,Table of Tales: The Crooked Crown,Digital tabletop,Tin Man Games,2019,可选,,,,,,,,,44,
★,ChromaGun VR,"First-person, puzzle",Pixel Maniacs,2019,—,Y,,,,CUSA04908,1.11,1189609472,exact,353,proxy
★,Driveclub VR,Racing,Evolution Studios,2016,—,,,,,CUSA00093,14.66,15739518976,exact,34,
★,Spice and Wolf VR,Interactive movie,Spicy Tails,2019,—,,,,,,,,,32,
★,Zone of the Enders: The 2nd Runner Mars,Third-person shooter,Cygames,2018,—,,,Y,,,,,,31,
★,Hyper Void: VR Levels,Space shooter,InFramez Technology,2016,—,,,,,,,,,265,proxy
★,Kai-ri-Sei Million Arthur VR,RPG,Square Enix,2017,可选,,,,,,,,,24,
★,Mini Motor Racing X,Racing,The Binary Mill,2019,可选,,,Y,,,,,,20,
★,One Piece: Grand Cruise,Interactive experience,Bandai Namco Entertainment,2018,可选,,,,,,,,,19,
★,Super Stardust Ultra VR,Shooter,Sony XDev,2016,—,,,Y,,,,,,87,proxy
★,Spooky's Jump Scare Mansion: HD,"Action, adventure",Albino Moose Games,2019,—,,,,,,,,,58,proxy
★,DOOM 3 VR Edition,First-person shooter,Bethesda,2017,可选,Y,,,,,,,,24,proxy
★,18 Floors,"Escape room, puzzle",Aoga Tech,2018,必需,,,,,,,,,,
★,1976,Ivanovich Games,Ivanovich Games,,—,,,,,,,,,,
★,2MD: VR Football,Sports,Truant Pixel,2018,必需,,,,,,,,,,
★,360 Date Osana Najimi,Interactive movie,Kyodo Television,2017,—,,,,,,,,,,
★,360Channel VR,Streaming cinema,360Channel,2017,—,,,,Y,,,,,,
★,502nd JFW Brave Witches VR: Operation Baba-Yaga,Aerial combat,Production I.G.,2018,—,,,,,,,,,,
★,A Fisherman’s Tale,Puzzle,Innerspace VR,2019,必需,,,,,,,,,,
★,A Night at the Forum,VRtron,VRtron,2019,必需,,,,,,,,,,
★,A Room Where Art Conceals,Puzzle,Shanghai Oriental Pearl Culture Development,2018,可选,,,,,,,,,,
★,A-Tech Cybernetic VR,"Action, horror",Xreal Games,2020,必需,,,,,,,,,,
★,Ace Banana,Action,Oasis Games,2016,必需,,,,,,,,,,
★,Affected: The Manor,Horror,Fallen Planet Studios,2018,可选,,,,,,,,,,
★,Afterlife,Horror,Signal Space,2019,可选,,,,,,,,,,
★,Air Force Special Ops: Nightfall,Simulation,Sony Interactive Entertainment,2017,必需,,,,Y,CUSA07936,2.28,2451374080,exact,,
★,Airtone,Rhythm,Historia,2018,必需,,,,,,,,,,
★,Allumette,Interactive Movie,Penrose Studios,2016,—,,,,Y,CUSA06821,0.85,917176320,exact,,
★,Along Together,"Puzzle, adventure",Turbo Button,2018,—,,,,,,,,,,
★,Ancient Amuletor,"Action, tower defense",TiGames,2017,必需,,,,,,,,,,
★,Angry Birds VR: Isle of Pigs,Resolution Games,Resolution Games,2019,必需,,,,,,,,,,
★,Animal Force,Strategy,Sony Interactive Entertainment,2018,必需,,,,,,,,,,
★,Anubis Zone of the Enders: Mars Orange Case,Third-person shooter,Cygames,2018,—,,,,Y,,,,,,
★,Anyone's Diary,Puzzle,World Domination Project,2019,可选,,,,,CUSA14221,1.27,1368195072,exact,,
★,AnywhereVR,Sony Music Entertainment Japan,Sony Music Entertainment Japan,2016,—,,,,Y,CUSA08643,0.43,462815232,exact,,
★,Apocalypse Rider,Arcade,VRMonkey,2018,可选,,,,,,,,,,
★,Arca's Path VR,Casual,Rebellion,2018,—,,,,,,,,,,
★,Archangel,Shooter,Skydance Interactive,2017,可选,,,,,,,,,,
★,ArtPulse,Adventure,Mekiwi,2019,必需,,,,,,,,,,
★,Atom Universe,"Party, social",Atom Republic,2016,—,,,,Y,CUSA02432,2.12,2272526336,exact,,
★,Audica,,Harmonix,2019,必需,,,,,,,,,,
★,Audio Beats,Music,Famiku,2017,必需,,,,,,,,,,
★,Bartender VR Simulator,Simulation,VR Factory,2019,必需,,,,,,,,,,
★,Baskhead Training,Sports,VR Lines,2017,可选,,,,,,,,,,
★,Beat Blaster,Ivanovich Games,Ivanovich Games,2019,可选,Y,,,,,,,,,
★,Beats Fever,Rhythm,Shanghai Chenyou Information Technology,2018,必需,,,,,,,,,,
★,Bikerider VR,Bike runner,Chariso,2017,—,,,,,,,,,,
★,Black Hat Cooperative,Action,Team Future,2018,可选,,,,,,,,,,
★,Blasters of the Universe,Brawler,Secret Location,2018,必需,,,,,,,,,,
★,Blind Spot,"Puzzle, adventure",Unlimited Fly,2019,必需,,,,,,,,,,
★,Blindfold A Vérité VR Experience,Horror,Ink Studios,2019,—,,,,,,,,,,
★,Bloody Zombies,Brawler,nDreams,2017,—,,,,,,,,,,
★,Bonfire,Experience,Baobab Studios,2019,可选,,,,,,,,,,
★,Bow to Blood,Aerial combat,Tribetoy,2018,可选,,,,,,,,,,
★,Boxing Apocalypse,Sports,Gotham City Films,2018,必需,,,,,,,,,,
★,BugsBoxVR,Casual,Park ESM,2018,—,,,,,,,,,,
★,Call of Duty: Infinite Warfare Jackal Assault VR Experience,Action,"Infinity Ward, Paper Crane Games",2016,—,,,,Y,,,,,,
★,Carnival Games VR,Party,Cat Daddy Games,2016,必需,,,,,CUSA05697,1.07,1153433600,exact,,
★,Catan VR,Simulation,Experiment 7,2019,可选,,,,,,,,,,
★,Catch & Release,Simulation,Metric Minds,2018,必需,,,,,,,,,,
★,Cave Digger: Riches,,Mekiwi,2019,必需,,,,,,,,,,
★,Cavernous Wastes,Simulation,PouncingKitten Games,2017,—,,,,,,,,,,
★,Chainman,Survival horror,ouka-ichi-mon,2017,—,,,,,,,,,,
★,Chernobyl VR Project,Adventure,The Farm 51,2017,—,,,,,,,,,,
★,Coaster,Simulation,Monster Paw,2020,可选,,,,,,,,,,
★,Cocos: Shark Island,Interactive Experience,Alchemy VR,2017,必需,,,,,,,,,,
★,Code51: Mecha Arena,"Action, shooter",Smellyriver Entertainment Technology,2018,—,,,,,,,,,,
★,Cold Iron,"Puzzle, shooter",Catch & Release,2018,必需,,,,,,,,,,
★,Contagion VR: Outbreak,Monochrome,Monochrome,2019,必需,,,,,,,,,,
★,Counter Fight 3,Action,Tricol,2019,必需,,,,,,,,,,
★,Counter Fight VR,Action,Tricol,2018,必需,,,,,,,,,,
★,Counter Fight: Samurai Edition,Action,Tricol,2019,必需,,,,,,,,,,
★,Covert,Adventure,White Elk,2020,可选,,,,,,,,,,
★,Crisis VRigade,"Action, shooter",Sumalab,2019,可选,Y,,,,,,,,,
★,Crow: The Legend,Interactive Experience,Baobab Studios,2018,可选,,,,Y,CUSA14043,3.44,3696558080,exact,,
★,Crystal Rift,Adventure,Psytec Games,2016,—,,,,,,,,,,
★,Ctrl,Interactive Movie,Breaking Fourth,2017,—,,,,,,,,,,
★,CubeWorks,Puzzle,TinMoon Studios,2018,必需,,,,,,,,,,
★,Cubians VR,Casual,IKina Games,2018,必需,,,,,,,,,,
★,Dancing Beauty: Idol Project,Shooter,Shanghai Oriental Pearl Culture Development,2018,必需,,,,,CUSA12671,4.01,4303683584,exact,,
★,Dark Eclipse,"MOBA, RTS",Sunsoft,2018,可选,,,,Y,CUSA08190,0.50,542113792,exact,,
★,Dark Legion,Shooter,Ice World,2018,可选,,,,,,,,,,
★,Darkness Rollercoaster: Ultimate Shooter Edition,Rollercoaster,Creative VR3D,2019,可选,,,,,,,,,,
★,Darknet,Puzzle,Archiact Int.,2017,—,,,,,,,,,,
★,"data-sort-value=""Apollo 11: VR Experience"" |The Apollo 11: VR Experience",Simulation,David Whelan,2017,—,,,,,,,,,,
★,"data-sort-value=""Brookhaven Experiment"" |The Brookhaven Experiment",Survival horror,Phosphor Games,2016,必需,Y,,,,,,,,,
★,"data-sort-value=""Copper Canyon Shoot Out"" |The Copper Canyon Shoot Out","Arcade, shooter",Black Dragon Studios,2019,必需,,,,,,,,,,
★,"data-sort-value=""Lost Bear"" |The Lost Bear","2D, platform",Odd Bug Studio,2017,—,,,,,,,,,,
★,"data-sort-value=""Room VR: A Dark Matter"" | The Room VR: A Dark Matter",Puzzle,Fireproof Games,2020,可选,,,,,,,,,,
★,David Attenborough's First Life VR,Interactive Experience,Alchemy VR,2017,—,,,,,,,,,,
★,David Attenborough's Great Barrier Reef Dive,Interactive Experience,Alchemy VR,2018,—,,,,,,,,,,
★,Dead Land VR,Action,Khizar Awan,2019,—,,,,,,,,,,
★,Detached,First-person adventure,Anshar Studios,2018,—,,,,,,,,,,
★,Dick Wilde,First-person,Bolverk Games,2017,必需,Y,,,,,,,,,
★,Dick Wilde 2,First-person,Bolverk Games,2019,必需,Y,,,,,,,,,
★,Digital Domain's Monkey King,Interactive Movie,Digital Domain Interactive,2017,—,,,,,,,,,,
★,Dino Frontier,Simulation,Uber Ent.,2017,必需,,,,,,,,,,
★,Discovery,Adventure,Noowanda,2017,—,,,,,,,,,,
★,Domino Craft VR,Casual,Shanghai Lusion Computer Software,2018,必需,,,,,,,,,,
